"Date","Price","Open","High","Low","Vol.","Change %"
"01/20/2012","257.9252","262.0959","262.6205","257.1645","","-2.20%"
"01/19/2012","263.7222","266.7649","268.1552","262.9615","","-0.22%"
"01/18/2012","264.2993","266.3452","268.1289","262.4631","","-0.11%"
"01/17/2012","264.5878","264.6927","265.4534","261.4926","","2.01%"
"01/13/2012","259.3679","260.6794","261.7287","256.9285","","-0.43%"
"01/12/2012","260.4958","268.0240","270.5946","260.1286","","-1.76%"
"01/11/2012","265.1649","266.4764","268.1289","264.4042","","-1.32%"
"01/10/2012","268.7060","269.6765","273.2892","268.3912","","0.91%"
"01/09/2012","266.2928","266.2666","267.7355","263.2763","","-0.26%"
"01/06/2012","266.9748","268.3388","270.1225","265.1649","","-0.22%"
"01/05/2012","267.5519","269.5454","271.6963","267.3420","","-1.35%"
"01/04/2012","271.2241","268.5748","272.3258","267.7355","","0.25%"
"01/03/2012","270.5421","266.2928","270.8569","265.4009","","4.18%"
"12/30/2011","259.6827","259.6827","262.3582","259.1581","","-0.82%"
"12/29/2011","261.8336","261.7287","262.4631","258.2400","","0.31%"
"12/28/2011","261.0204","264.5353","266.5551","260.3647","","-1.92%"
"12/27/2011","266.1354","262.2270","267.2371","261.8598","","1.63%"
"12/23/2011","261.8598","262.3844","263.1976","261.6500","","0.13%"
"12/22/2011","261.5188","260.2073","262.7779","259.2892","","0.86%"
"12/21/2011","259.2892","255.8793","260.6270","254.4628","","1.47%"
"12/20/2011","255.5383","250.9217","256.4563","250.4233","","3.36%"
"12/19/2011","247.2232","246.8297","248.6921","245.1772","","0.29%"
"12/16/2011","246.5149","248.8232","249.1642","243.8394","","-0.35%"
"12/15/2011","247.3805","252.3644","252.8890","247.1969","","-1.11%"
"12/14/2011","250.1610","259.3679","259.9712","248.3773","","-5.09%"
"12/13/2011","263.5648","259.3073","266.0899","258.6459","","2.36%"
"12/12/2011","257.4909","259.2195","260.5961","256.9655","","-1.60%"
"12/09/2011","261.6889","259.5280","261.7888","256.4576","","1.06%"
"12/08/2011","258.9392","265.6955","267.5793","258.7550","","-2.13%"
"12/07/2011","264.5800","265.9227","266.9232","262.5000","","-0.78%"
"12/06/2011","266.6600","265.9754","266.9496","263.8164","","0.29%"
"12/05/2011","265.8964","267.7131","269.6878","263.9744","","0.03%"
"12/02/2011","265.8174","266.5810","267.2392","262.6843","","0.76%"
"12/01/2011","263.8164","263.7374","266.1860","260.4200","","-0.16%"
"11/30/2011","264.2377","262.4210","267.8184","262.2367","","0.57%"
"11/29/2011","262.7369","258.8666","263.6585","258.4716","","1.61%"
"11/28/2011","258.5770","262.7896","262.8423","255.7334","","1.49%"
"11/25/2011","254.7856","251.2575","256.6023","250.1254","","0.62%"
"11/23/2011","253.2058","252.2580","255.3385","251.0995","","-1.88%"
"11/22/2011","258.0504","258.6559","259.7881","254.4696","","1.12%"
"11/21/2011","255.1805","254.4433","255.4965","250.8099","","-0.77%"
"11/18/2011","257.1552","263.1055","263.7374","254.7856","","-1.27%"
"11/17/2011","260.4726","265.8438","267.8974","259.2089","","-3.58%"
"11/16/2011","270.1354","261.0256","270.7409","260.6306","","3.19%"
"11/15/2011","261.7891","257.8134","262.8686","257.3395","","1.23%"
"11/14/2011","258.6033","258.4716","259.6564","256.0494","","-0.68%"
"11/11/2011","260.3673","257.8924","260.6833","257.1815","","1.24%"
"11/10/2011","257.1815","255.6018","258.5770","253.6798","","2.13%"
"11/09/2011","251.8104","251.5208","257.0235","248.7562","","-1.10%"
"11/08/2011","254.6013","253.2322","254.7329","251.5734","","1.31%"
"11/07/2011","251.3102","249.0722","251.5998","247.7821","","1.34%"
"11/04/2011","247.9927","248.8352","249.3618","244.3066","","0.30%"
"11/03/2011","247.2600","245.1228","248.5456","243.1482","","1.69%"
"11/02/2011","243.1482","244.7542","246.3340","241.0945","","0.33%"
"11/01/2011","242.3583","237.5138","245.0702","234.5913","","-1.11%"
"10/31/2011","245.0702","244.4646","245.7547","240.4626","","-0.17%"
"10/28/2011","245.4915","243.1745","247.0185","242.6479","","-0.62%"
"10/27/2011","247.0185","243.9117","247.8874","243.4905","","4.04%"
"10/26/2011","237.4348","245.6758","245.9390","237.0398","","-2.96%"
"10/25/2011","244.6753","247.0185","247.8874","242.4110","","1.96%"
"10/24/2011","239.9624","231.6951","241.4368","230.2996","","4.20%"
"10/21/2011","230.2996","230.2996","234.2753","228.9305","","1.46%"
"10/20/2011","226.9822","228.1670","229.0622","222.1640","","-0.25%"
"10/19/2011","227.5614","233.2221","236.3816","227.1928","","-2.54%"
"10/18/2011","233.4854","227.0348","234.0647","226.4293","","2.17%"
